X,Y
1213,20.2733
1214,20.1475
1215,19.9531
1216,19.7075
1217,19.5524
1218,19.3906
1219,19.3189
1220,19.3173
1221,19.2598
1222,19.2479
1223,19.2424
1224,19.1841
1225,19.1353
1226,19.0163
1227,18.9465
1228,18.9150
1229,18.8373
1230,18.9051
1231,18.8229
1232,18.7746
1233,18.6315
1234,18.4519
1235,18.2839
1236,18.1708
1237,18.1334
1238,18.1660
1239,18.1898
1240,18.2347
